"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем соответствие урла страницы, открывающейся по клику на кнопку Войти после заполнения формы авторизации, заданному урлу","1432","Проверка перехода на главную страницу после успешной авторизации по кнопке Войти","tests","2026-05-03","passed","2026-05-03","TestSigninPage","test_signup_page","",""
"Проверяем соответствие урла страницы, открывающейся по клику на кнопку Создать аккаунт после заполнения формы регистрации, заданному урлу","2375","Проверка перехода на страницу авторизации по кнопке Создать аккаунт после заполнения формы регистрации","tests","2026-05-03","passed","2026-05-03","TestSigninPage","test_signin_page","",""
"Проверяем корректное отображение карточки созданного рецепта","3552","Проверка успешного создания рецепта авторизованным пользователем","tests","2026-05-03","passed","2026-05-03","TestSigninPage","test_main_page","",""
